Account Info - 14-03-2014
Account  ;1234567890985 ; EUR  ;CONTA_FAMILIA ;VIPAccount ;0.05
Start Date ;31-08-2013
End Date ;03-02-2014
Date ;Value Date ;Description ;Draft ;Credit ;Accounting balance ;Available balance 
31-08-2013 ;31-08-2013 ;SUMMARY ;-3100.0 ;3200.0 ;4967.5 ;4967.5
30-09-2013 ;30-09-2013 ;SUMMARY ;-3100.0 ;3200.0 ;5067.5 ;5067.5
31-10-2013 ;31-10-2013 ;SUMMARY ;-3100.0 ;3200.0 ;5167.5 ;5167.5
30-11-2013 ;30-11-2013 ;SUMMARY ;-3100.0 ;3200.0 ;5267.5 ;5267.5
01-12-2013 ;01-12-2013 ;PURCHASE ;-13.0 ;0.0 ;5254.5 ;5254.5
01-12-2013 ;01-12-2013 ;PURCHASE ;-61.0 ;0.0 ;5193.5 ;5193.5
02-12-2013 ;02-12-2013 ;TRANSF ;-300.0 ;0.0 ;4893.5 ;4893.5
02-12-2013 ;02-12-2013 ;PAYMENT ;-240.0 ;0.0 ;4653.5 ;4653.5
03-12-2013 ;03-12-2013 ;PURCHASE Z ;-13.45 ;0.0 ;4640.05 ;4640.05
03-12-2013 ;03-12-2013 ;ELECTRIC Co. ;-101.99 ;0.0 ;4538.06 ;4538.06
03-12-2013 ;03-12-2013 ;COBRANCA ;-121.16 ;0.0 ;4416.9 ;4416.9
03-12-2013 ;31-12-2013 ;LOW VALUE ;-7.65 ;0.0 ;4409.25;4409.25
04-12-2013 ;04-12-2013 ;PURCHASE ;-41.3 ;0.0 ;4367.95 ;4367.95
05-12-2013 ;05-12-2013 ;PURCHASE ;-29.99 ;0.0 ;4337.96 ;4337.96
06-12-2013 ;06-12-2013 ;PURCHASE ;-11.82 ;0.0 ;4326.14 ;4326.14
07-12-2013 ;07-12-2013 ;PAYMENT ;-21.0 ;0.0 ;4305.14 ;4305.14
07-12-2013 ;07-12-2013 ;PURCHASE X ;-25.2 ;0.0 ;4279.94 ;4279.94
07-12-2013 ;07-12-2013 ;WATER Co. ;-24.76 ;0.0 ;4255.18 ;4255.18
08-12-2013 ;08-12-2013 ;PURCHASE ;-78.91 ;0.0 ;4176.27 ;4176.27
08-12-2013 ;06-12-2013 ;LOW VALUE ;-4.25 ;0.0 ;4172.02 ;4172.02
09-12-2013 ;09-12-2013 ;PURCHASE ;-41.27 ;0.0 ;4130.75 ;4130.75
09-12-2013 ;07-12-2013 ;LOW VALUE ;-1.5 ;0.0 ;4129.25 ;4129.25
12-12-2013 ;12-12-2013 ;PURCHASE ;-27.98 ;0.0 ;4101.27 ;4101.27
14-12-2013 ;14-12-2013 ;MOBILE COMS ;-77.15 ;0.0 ;4024.12 ;4024.12
15-12-2013 ;15-12-2013 ;PURCHASE Y ;-29.9 ;0.0 ;3994.22 ;3994.22
16-12-2013 ;16-12-2013 ;PAYMENT ;-11.0 ;0.0 ;3983.22 ;3983.22
16-12-2013 ;16-12-2013 ;CHARGE ;-203.0 ;0.0 ;3780.22 ;3780.22
17-12-2013 ;17-12-2013 ;PURCHASE Y ;-52.9 ;0.0 ;3727.32 ;3727.32
21-12-2013 ;21-12-2013 ;CHARGE ;-233.0 ;0.0 ;3494.32 ;3494.32
25-12-2013 ;25-12-2013 ;PURCHASE Y ;-5.9 ;0.0 ;3488.42 ;3488.42
25-12-2013 ;25-12-2013 ;PAYMENT ;-14.0 ;0.0 ;3474.42 ;3474.42
26-12-2013 ;26-12-2013 ;PAYMENT ;-12.0 ;0.0 ;3462.42 ;3462.42
26-12-2013 ;26-12-2013 ;CHARGE ;-28.0 ;0.0 ;3434.42 ;3434.42
28-12-2013 ;28-12-2013 ;PURCHASE Y ;-9.9 ;0.0 ;3424.52 ;3424.52
30-12-2013 ;30-12-2013 ;PAYMENT ;-10.0 ;0.0 ;3414.52 ;3414.52
30-12-2013 ;30-12-2013 ;CHARGE ;-23.0 ;0.0 ;3391.52 ;3391.52
01-01-2014 ;01-01-2014 ;PURCHASE ;-100.0 ;0.0 ;3291.52 ;3291.52
03-01-2014 ;03-01-2014 ;PURCHASE ;-200.0 ;0.0 ;3091.52 ;3091.52
10-01-2014 ;10-01-2014 ;PAYMENT ;-150.0 ;0.0 ;2941.52 ;2941.52
20-01-2014 ;20-01-2014 ;TRANSF ;0.0 ;600.0 ;3541.52 ;3541.52
26-01-2014 ;26-01-2014 ;LOW VALUE ;-150.65 ;0.0 ;3390.87 ;3390.87
01-02-2014 ;01-02-2014 ;PURCHASE ;-100.0 ;0.0 ;3290.87 ;3290.87
03-02-2014 ;03-02-2014 ;LOW VALUE ;-150.65 ;0.0 ;3140.22 ;3140.22
03-02-2014 ;03-02-2014 ;TRANSF ;0.0 ;600.0 ;3740.22 ;3740.22
03-02-2014 ;03-02-2014 ;PAYMENT ;-150.0 ;0.0 ;3590.22 ;3590.22
03-02-2014 ;03-02-2014 ;PURCHASE ;-200.0 ;0.0 ;3390.22 ;3390.22
